  Memory: 55 messages, 1 profile entries

[38;5;214m
       ██╗ █████╗ ██████╗ ██╗   ██╗██╗███████╗
       ██║██╔══██╗██╔══██╗██║   ██║██║██╔════╝
       ██║███████║██████╔╝██║   ██║██║███████╗
  ██   ██║██╔══██║██╔══██╗╚██╗ ██╔╝██║╚════██║
  ╚█████╔╝██║  ██║██║  ██║ ╚████╔╝ ██║███████║
   ╚════╝ ╚═╝  ╚═╝╚═╝  ╚═╝  ╚═══╝  ╚═╝╚══════╝
[0m
  [1mJ.A.R.V.I.S.[0m  v5.1 — Just A Rather Very Intelligent System
  ──────────────────────────────────────────
  [38;5;214m>[0m Phone:   https://192.168.101.13:8822
  [38;5;214m>[0m Local:   https://localhost:8822
  [38;5;214m>[0m SSL:     ON
  [38;5;214m>[0m Memory:  55 messages
  ──────────────────────────────────────────
  "At your service, Sir."

  [15:11:04] "GET /health HTTP/1.1" 200 -
  [15:16:13] "GET / HTTP/1.1" 200 -
  [15:16:37] "GET / HTTP/1.1" 200 -
  [15:16:37] "GET /jobs HTTP/1.1" 200 -
  [15:16:37] "GET /perms HTTP/1.1" 200 -
  [15:16:37] "GET /favicon.ico HTTP/1.1" 404 -
  [15:16:38] "GET /jobs HTTP/1.1" 200 -
  [15:16:38] "GET /perms HTTP/1.1" 200 -
  [15:16:40] "GET /jobs HTTP/1.1" 200 -
  [15:16:40] "GET /perms HTTP/1.1" 200 -
  [15:16:41] "GET /jobs HTTP/1.1" 200 -
  [15:16:41] "GET /perms HTTP/1.1" 200 -
  [15:16:43] "GET /jobs HTTP/1.1" 200 -
  [15:16:43] "GET /perms HTTP/1.1" 200 -
  [15:16:44] "GET /jobs HTTP/1.1" 200 -
  [15:16:44] "GET /perms HTTP/1.1" 200 -
  [15:16:46] "GET /jobs HTTP/1.1" 200 -
  [15:16:46] "GET /perms HTTP/1.1" 200 -
  [15:16:47] "GET /jobs HTTP/1.1" 200 -
  [15:16:47] "GET /perms HTTP/1.1" 200 -
  [15:16:49] "GET /jobs HTTP/1.1" 200 -
  [15:16:49] "GET /perms HTTP/1.1" 200 -
  [15:16:50] "GET /jobs HTTP/1.1" 200 -
  [15:16:50] "GET /perms HTTP/1.1" 200 -
  [15:16:52] "GET /jobs HTTP/1.1" 200 -
  [15:16:52] "GET /perms HTTP/1.1" 200 -
  [15:16:53] "GET /jobs HTTP/1.1" 200 -
  [15:16:53] "GET /perms HTTP/1.1" 200 -
  [15:16:55] "GET /jobs HTTP/1.1" 200 -
  [15:16:55] "GET /perms HTTP/1.1" 200 -
  [15:16:56] "GET /jobs HTTP/1.1" 200 -
